Clayman Study ID,Clayman Business ID,Employee Business Title,Employee Employee Type,Employee Gender,Overall Performance Rating,Overall Performance Rating Description,Section Comment Owner Clayman ID,San Jose,Clean Section Comment
1,1,"Distinguished MTS, Architect",Director,M,4,Exceeds Some,15,Yes,"It had again offered a solid contribution to the team and company over the year.  In the first half, per comments below, we was tasked with leading the Vertical Solutions architecture team and was responsible for architectural solutions spanning many diverse domains.  Of particular impact in this role are the solutions we were able to deliver in the various regions across the world.~~Following on from the first half, it was asked to leave its role in Vertical Solutions and take on lead architect for the Global Credit Expansion initiative.  A new role requiring architectural oversight to the largest program we have committed to to date and possibly the most important initiative we have taken for years past and possibly into the near future.  It has build a small but effective architecture team and has demonstrated an ability to not allow organization boundaries to impede its ability by expanding its capability to matrix leadership of architecture.~~During the time on Global Credit Expansion initiative, the program has turned from lack of architectural definition to clarity and focus on what to deliver, and how that delivery dovetails into overall 001 architecture.  This has resulted in what will be a global credit domain that leverages and complements the many other 001 domains and capabilities.  This is no small accomplishment, it has not been completed, or even attempted, since the acquisition of BML five years ago.~~For its efforts on the Global Credit Expansion program and for the solid work provided in the first half of the year, it has exceeded my expectations and will therefore be receiving an Exceeds Some rating for the year.~~Comments from Mid-Year Review~Its overall contribution remains strong and of a consistently high quality.  It has been leading the architecture team for Vertical Solutions and by nature of the teams charter means that its involvement has had to span many diverse programs, projects, platforms and overall architectural strategies.  It has worked with few resources on its staff, but through network, relationships and organizational influence and has managed to enlist support from many other architecture teams across 001 Technology, including Central Architecture.~~In its charge, from the perspective of architectural oversight, are the follow key initiatives.  Each with carrying the potential of large strategic win for 001…~Marketplaces Portfolio: PROX, Joint Registration, S2F and many other smaller initiatives that are encompassed within the program.~Softbank: Short and long term stabilization.~Regional Solutions: Quick wins across all regions.  Including Australia “TravelDates” and Woolworths engagement, Brazil PPH MVP solution.~India: Architectural support for market entry solutions.~Russia: Architectural support for market entry solutions.~~It has also focused on and led efforts to introduce overall improvements across Customer Engineering.  By introducing and leading the Technical Review Board, it has created a forum which enables greater visibility and collaboration across the many complex initiatives in flight. It also has proven to be a mechanism to bring previously lacking insight to architectural and design decisions that could present issues with domain alignment and interoperability and the potential introduction of large scale technical debt.~~It was deservingly promoted to Distinguished Architect(T29) for its outstanding work last year.  Moving into the Distinguished Architect role has understandably considerably raised the expectations on its performance and organizational influence out"
2,1,"MTS 1, Software Engineer",Individual Contributor,F,4,Exceeds Some,53,Yes,Ø Avid code contributor and is willing to try things out even if it may not go live with some of the test learn initiatives around cycle time~Ø Helped complete the MVP for Paycode use – by working on a Mobile flow to render paycode.~Ø The decline improvement initiative would have been delayed if we could not align with the CE2 & mobile experience fix. It took it on itself to make this happen.~Ø Significant improvement in our cycle time forSparta releases. It findings helped fix the long-pole in the process
3,1,Software Engineer 3,Individual Contributor,M,3,Meets,,No,
4,1,Software Engineer - Entry Level,Individual Contributor,M,3,Meets,86,No,"It, it's been such a pleasure working with you so far, with your young enthusiasm, dedication and little bit of free way to innovate, we are appreciating all you guys have prepared for us, our code base and our product.  Looking forward to 2014 where we will put a lot more effort and attention to some of your proficiencies. "
5,1,Software Engineer 3,Individual Contributor,M,3,Meets,88,No,"It joined the Partner Stage team in July of 2013.~~Most of its time in 2013 was spent on ramp-up on team functions/responsibilities, the stage environments we support and maintain, the various products we work on and the learning about cross-functional teams and stakeholders we work with.~~It executed fine on its goals and gets a Meets for 2013. ~~Things that I would like to see improved are:~- Learning about 001 products that we support on our stages~- Taking initiatives in resolving issues and driving it end to end with other cross-functional teams~- Fixing root causes of issues and not just solving the issue at hand~~I hope to see great contributions from it and also help it grow professionally here at 001."
6,1,"Manager, Engineering Programs 2",Individual Contributor,M,3,Meets,23,Yes,"It has become a rising star within the CSPD PMO organization.  During H2, senior and executive management repeatedly recognized it for its delivery success. ~~It has become a go-to program manager for the turnaround of difficult initiatives.  It parachuted in and successfully delivered Russia KYC and the initial Risk Progressive Checkout efforts after they fell into deep Red status and missed internal milestones.  It has now taken over Risk Replatforming to help drive improvements into 2014.~~It is very active in organizational improvement efforts, helping drive two different initiatives in 2013 – Shared Team Engagement and Replatforming Improvement Identification.  It has expanded its circle of influence by promoting and integrating the best practices of its delivery groups across CSPD.  (Sharedteams forecasting, due diligence practices)   ~~It possesses business and technical domain expertise across all CSPD domains.  It is extremely levelheaded and systematic.  Its ability to quickly assimilate into new teams and drive constructive improvements while reducing team tension makes it a real asset to the team.~~Its ability to quickly ramp-upon difficult business and technical challenges has allowed it to turnaround difficult situations in short order.  Its ability to quickly build effective relationships with internal and external 001 stakeholders has allowed it to solve complex challenges across extreme geographic boundaries.  (Russia KYC)~~It is a strong promoter of team success and is a regular CSPD news article contributor."
7,1,"Software Engineer 3, Quality",Individual Contributor,F,3,Meets,55,Yes,"It joined 001's Online Payments Acceptance CQ team in November 2013 and as new hire, its rating is meets."
8,1,Lead Product Manager - Technical,Manager,F,4,Exceeds Some,64,Yes,"H2 I saw it really come into the role of a leader on my staff. It was thrown many challenges new and existing. It had to continue to deliver on the sandbox strategy and start a transition,  it had put in building blocks for simple and single integration strategy . ~~At the end of the H1 2013 feedback was around a few themes to it;~·     Don't let issues linger on for too long~·     continue enhance its skills around telling a story~·     communication more and often~~It took this feedback very well as it took it upon itself to become the advocate at several levels across the organization to really start collecting feedback on product simplification and also tackling issues head on. I saw it communicate more often and the desired outcomes were getting very clear from it.  An area where I saw it further improve was its ability to create a metric and then drive to the desired outcome.~~Below is the feedback from its stakeholders in the organization on things it should be doing..~~Start~1.       Continue working on executive-level communication skills~2.       Execution is excellent, develop some soft skills around collaboration~~Stop~1.         Always assuming that people know the information, please communicate cleary~2.         Do more work in-person or by video~ ~Continue~1.       it has a good understanding of the customer needs. ~2.       Passion that it shows ~3.       it knows how to GSD~~It has really come into its own in H2 2013. I have seen it improve and step-up a lot, it is taking more of a leadership role at GDEE level and really helped execute on our goals for GDEE. It also has started to take its career more seriously and started to work with its mentors on its area of opportunities. 2014 is a big year ahead for TPM org under it and I like it to really build a solid TPM team and deliver on the work it started around product simplification and payments acceptance. ~Looking forward for it to have a successful 2014."
9,1,"Director, QA 1",Director,F,3,Meets,41,Yes,"2013 Year-End Review was completed by [prior manager], who managed it through November.  [prior manager]'s feeback is below:~~Strengths~It and the Global Ops team had a strong year from a delivery perspective with significant churn happening in other areas of Technology. It was able to keep the GOPS CQ team focused on a high quality bar, exceeding the Agile maturity goals for GOPS and hitting all of the quality targets.  It responds extremely well to feedback, as noted below with respect to improving the Pulse scores for its team.~~Development Areas~We talked during the last annual and midyear cycles about the importance of succession planning:  It does not have a strong successor on its team, and I didn’t see any progress on this front over the year.  I think this is a significant operational risk, but also limits its flexibility to take on other roles.  As it grows in its career, the ability to build strong teams that can self-sustain without it will be increasingly important.~It has made an impressive improvement in Pulse scores, including overall engagement, for its team over the past couple years, and the scores for its overall team are now outstanding.  Looking at the upward feedback from its directs only, though, its manager effectiveness scores are quite low and this area could use more focus.  Two out of three of its directs are not strongly favorable in terms of coaching and guidance, professional development, and clear expectations of their roles.  While the data can be a little skewed due to the small number of direct reports, I think the flip side is that fixing this should not require an inordinate amount of time.  I think this is an area that it can address with just a little bit of focus.~It focused well on GOPS and kept the team on task from a delivery standpoint, but it did not have a strong leadership presence across the rest of the CQES team in 2013.  It’s noticeable, and several of its peers have commented on its absence/remoteness in the past.  Working remotely much of the time, it will require more effort for it to maintain these relationships, but if it can do that there’s a huge additional impact it can make by leveraging it strengths and insights more broadly within the team.~~Summary~It is a strong contributor, and continues to perform very high within the “Meets Expectations” spectrum of our Director population.  From a pure delivery standpoint, it exceeded expectations for 2013.  We would like it to work on continuing to broaden its Technology leadership outside of GOPS CQ.  It needs to develop a strong successor within its team, and with a little focused effort it should be able to bring its Manager Effectiveness scores up to the same high level as the Pulse scores for the rest of its team."
10,1,"Director, Professional Services",Director,M,2,Meets Some,8,Yes,"No written feedback from [prior manager] was provided. ~~As, it new manager I am processing this and have no insight into its 2013 goals. It reports into me now so that's why I am pushing the button here."
11,1,"Manager, Software Development 2",Individual Contributor,M,3,Meets,37,Yes,"It continue to play a critical and leadership role in core Payment Risk team. It worked very closely with BU, product and CQ team in the RPDS migration project, and leaded the team in BU cordination, product requirement and technology design. The project made significant delivery in enable POS judincation on the new technology platform in 2013. It also worked very hard uner extremely aggressive and dynamic timeline with limited resource on the XO replatforming, there were many challenges and issues came up for the program, especially in the second half. it showed strong leadership in the resolution of the issues and worked very hard with the team to achieve the replatforming 30% goal.~~I really enjoyed my time working with it in the last couple years, and with the new role in Payment Risk, I hope it got the opportunity to further showcase its value and strength to the entire organization, especially its deep domain knowledge, business understanding and technical capability. I wish you the best and really appreciate of your support during my time to manage the Payment Risk Domain. "
12,1,"MTS 1, Software Engineer",Individual Contributor,F,5,Exceeds Most,48,Yes,"Overall this has been a great year for you. You have consistently performed very well and shown great execution, technical & leadership skills. ~~You have worked very well within and across teams.  Various team members have given similar feedback.~~Based on the feedback I can think of few areas for you to spend more time on: documentation, and communicating frequently with other team members, to convey status & progress. ~~ "
13,1,"Manager, Business Systems 3",Manager,F,5,Exceeds Most,52,Yes,"Overall, it had a very challenging and strong year.  It brings energy and a positive attitude to everything it does.  It is focused on trying to constantly improve itself and its team.  A very important trait in a leader. Areas where it needs to focus is on seeing the broader picture of the work it and its team do.  All aspects of our work impact other groups and other people.  It is important to understand that we can not be in a vacuum and that in order to drive the organization forward, it is critical we work as partners with other teams.  Both understanding the end goals and their motivations.  This is not a competition, but rather we are all part of the same team.  In this way, I think 2013 was a learning year for it and one in which there were some bumps and bruises as a result. ~ ~This next year is going to be an opportunity for it to take its skills and its team to the next level. The focus will be on truly driving value from the processes implemented versus just adoption. Ensuring we uplift the skill sets both technical and process of its team.  It will play a critical part in making this happen and I am excited for the fresh thinking and energy it will bring to the table."
14,1,Engagement Lead Manager,Individual Contributor,F,5,Exceeds Most,89,No,"Its can-do attitude and professional demeanor is unmatched by its peers.  It continues to work on some of the most challenging projects for 001 and leaves no stone unturned to ensure a successful launch.  In 2013, the team was able to set a launch record for # of Integrations completed, # of mobile opportunities launched, and $ of TPV.  Its project load, in conjunction with a constant thought process of ""how can I do this better"" was instrumental for its success in 2013. ~~Looking ahead to 2014, we're going to see the number of projects explode based on current Sales projections.  I challenge it to continue its personal development path within 001 and to leverage its peers and management to help us all be successful in the coming year. ~~Thank you it for an exceptional 2014.  Final review score:  Exceeds Most"
15,1,"Director, Engineering Programs",Director,M,3,Meets,9,Yes,"Keep being new to the company, had a strong first half.  It worked really hard at learning 001 and building new relationships.  I look forward to scaling itself more in 2014. It is a great asset to the company and we need it to do and influence more!"
16,1,"Manager, QA 3",Manager,M,3,Meets,22,Yes,"It's been a huge challenge to manage all the org and the process changes in 2013. It, you've done a good job in managing your deliverables while working thru all the changes. You were focused and dedicated to deliver quality products to our customers. You've reported to me over the last 3 months, and I have relied on you to get many tasks completed. Your knowledge of the products, willingness to take the next task even outside of your own scope, helped me to be more productive. Along the way, you educated me about the Quality processes at 001, and how Merchants and Offline quality teams test our products. I counted on you to educate and help to strategize about our next steps in making quality as part of any engineering work. You're open, honest, and someone who debates and willing to change for better. I am thankful for your dedication and level of energy you bring to our management team. ~~Be even more vocal and challenge the current status. Plan to make things even better than what you have today. Build a team that is even stronger than what you've built as of today. Compare and set a high bar with relevant people / organization. Always seeks how you can do your job better than today and make plans to make it more efficient and effective. ~~Thanks for a sold delivery in 2013 and I look forward to working with you in 2014. "
17,1,Sr. Manager Information Security,Manager,F,3,Meets,50,Yes,"It has come in like a whirlwind and a breath of fresh air for the team and for me.  It has the ideas and vision to move the Engagement team forward fast and towards our 3 year strategic vision of being the face of the business, being proactive and helping the business to understand their risk.  It has a clear vision and the appropriate goals and requirements of the team to get where we need to go.  I am very thankful that it joined the team in 2013 and look forward to many more years working with it, watching it grow the Engagement team to world class stature and growing with the rest of the IRM team.  "
18,1,"VP, Professional Services, PayPal",Manager,M,3,Meets,14,Yes,"It had a fantastic year this year as it and its team bent the curve with MTS, improved our technical support, sandbox, integration discipline and experience for customers. It significantly upgraded its leadership bench and brought in needed people for the different areas of its organization. ~~It is driving fundamental improvements to the way the integration teams work globally. Near the end of the year, it was nominated to be the initiative owner for Share of Checkout and Merchant Health.  Additionally, large parts of the integration teams moved to it in recognition for its management strengths and capabilities to manage better.~~However, while the business made progress it did not succeed in hitting its goals. It did very well but as a senior leadership team, we didn't accomplish what we set out to do at the beginning of the year.~~Strengths:~Leadership: it is a natural leader. I appreciate when it raises its opinion and vocalizes a direction. It brings up solid points on how we can all raise our game and hold people accountable to raise the bar.~“It always looks for ways to bring up the energy in the room and breathe life into anything that needs doing. In the spirit of that its enthusiasm breaks down resistance and creates forward momentum.”~“Great partner.  Aligns with me as its xxx partner to drive improvements and provide positive experiences for xxx.”~“It is a charismatic leader, and its team (directs and entire PS group) value its insights and storytelling ability to connect the dots about the work being done in PS and the greater 001 vision.""~~Business Alignment, Partnership and Drive: it does a fantastic job at integrating with the business. It understands our business and it understands what the business leaders need it does its best to align its organization to help further this objectives It’s a team player and it works hard to drive alignment and partnership across a large part of a very complicated organization.~“The focus of its leadership team and cross functional partners in NA LE, SMB, BD and in APAC are now reaping the rewards in ways the prior org structure(massive breadth across integrations and technical support) did not allow. “~“It has a high degree of knowledge about the business. In its current role it very effectively brings all aspects to bear in evolving its own strategy for Professional Services as well as how it prioritizes and delivers services for its clients and partners. “~“It is well attuned to product constraints, revenue challenges, technology implications, merchant readiness, PS support and capability to execute and it can effectively tie all of those pieces very well in how it approaches its work in delivering quality results for its client.”~“It has been instrumental in leading the Merchant Optimization and VOC-M work. Both of these, and several other PS initiatives, are centered squarely around creating experiences our Customers (and their Customers) love.  It is passionate about getting it right for our Customers.”~Strategic Ability, OE and GSD: it is very strategic it does a good job in taking a complicated amorphous area and turning it into a prioritized strategy with the vision and mission baked.  It is also able to make that strategy into an executable program.  It aligns goals & KPI's with ong"
19,1,Software Engineer 3,Individual Contributor,M,3,Meets,71,No,"It is reliable member of AET team. It is the first to start on simulation related work in our team and have been successful in delivering milestones. Encourages effective communication and is a great team player. Its speed and efficiency is an inspirational example to others. It has been greatly collaborating with all members of our team, QA, Architect and consumers to understand “big picture” and deliver “holistic” seamless, distributed solutions.~~While I can entrust it for any critical deliveries, I would like to see it grow its ability to design scalable systems and move up from “execution specialist” to “lead design” specialist."
20,1,"Software Engineer 3, Quality",Individual Contributor,M,3,Meets,29,Yes,Hi it~ You are one of the strong performer in the team who has very thorough knowledge in the domain. Let us work together to help grow our team to the next level. Let us together address all the challenges and initiatives and move the quality bar high for us. Please continue the strong drive you have.~~Looking forward to a bright 2014.
21,1,"Program Manager, Online Payments",Individual Contributor,F,3,Meets,66,Yes,"Overall, it had a good year.  It was a key driver in making sure the agile transformation in H1 went successfully.  And it got much more engaged in the operations functions in the second half of the year. One of its strongest qualities is its ability to work and influence across teams.  It is a natural at relationships and has been able to keep many controversial topics in front of the teams without drama or tension.  It is one of the strongest people managers on the Biz Ops team for CSPD.  Areas of opportunity for it are in focusing on being more proactive rather than reactive with requests from [leader] and the CSPD leaders.  Putting in place more standard routines around headcount, financials, communications, scorecarding, pulse and training will be important in 2014 to ensure we can meet the many commitments we have but do so with minimal churn.  Over the course of the 2013, it started putting these in place and there are many opportunities for more rigor in this upcoming year.  Having the vision to anticipate the needs and put in place proactive measures is an area that I would like to see it focus on to grow and push itself this year.~~It is a great asset to the team.  Reliable, dependable, quality delivery and always a positive attitude.  It exemplifies the O23qualities that make a strong people manager and its team's attitudes reflect it."
22,1,"MTS 1, Software Engineer",Individual Contributor,M,2,Meets Some,27,Yes,"In 2013 it worked on various projects starting with being on MAX (Checkout LIVE support team) roster to AS2 Replatforming and later to work on REST API part of Progressive Checkout. It has demonstrated commitments on all of these projects, but the throughput has been at varying levels especially compared to its grade. It has been ramping up on learning Java and good coding patterns especially in the second half of the year. It has a good potential with its smarts and attitude. It needs to make a few corrections in the way it applies itself to be a strong MTS1 engineer in the team.~~3 things to continue doing:~Continue adding value as a ""smart"" engineer with a lot of domain and process knowledge in 001. Its 001 knowledge and its ability to ""find"" things is often useful to the team. ~Continue its commitment to deliver. Its attitude to do anything that team needs to GSD is valuable. ~Continue the process of technical learning and growth that it started last year. ~~3 things to start doing:~As it continues its technical learning, it should start tilting the balance towards applying its learnings. It needs to be the MTS1 engineer in the team who can lead execution and/or design  of small/medium complexity in the team and/or be technical reviewer/mentor in the team and/or lead the way to improve productivity of the team.~It should be more vocal in its communication. Sometimes, it has some good ideas or knowledge that is under-utilized because it doesn't communicate with the team in a confident, clear manner. ~It should get a mentor that can help it through some of these areas of improvements. "
23,1,Data Engineer,Individual Contributor,M,3,Meets,16,Yes,"In 2014, we'll need to find a way to make sure we don't have agents sitting idle because the ETL failed.  Also, we'll plug Saurav into some of the intiatives to better the Data Engineering Practice such as the initiative to make sure we have proper dev/qa environments in place.~~Great job overall.  Keep it up!"
24,1,"Software Engineer 2, Quality",Individual Contributor,M,4,Exceeds Some,85,No,"Good to see the both negative and positive cases are written by doing through analysis.~~Since you are working for Shared team, you should develop your domain knowledge in all Service and rapid flows.~~Contribute for our regression suite, still the pass percentage is very low. ~~Help the regression team to develop a logger to identify the issues earlier. All failed cases should be able to identified easily in 1 hour time.~~Continue to develop the readable and reusable code.~~Our regression suite should be customized to a configurable framework."
