’ s,287296
<S> it,135075
<S> ”,112069
of the,104811
” it,102304
in the,88855
’ t,77090
it was,76626
<S> “,75959
it said,72197
that it,69916
it ’,69541
to the,54291
of it,52862
said </S>,50122
and it,48439
<S> The,44863
on the,40622
it is,34479
said it,33458
in a,31902
at the,31745
for the,31173
it </S>,31017
to be,30446
in it,29936
<S> But,29014
’ ’,28465
it has,27893
to it,27230
<S> In,26738
as a,26308
it had,25925
and the,25917
with the,25826
Trump ’,25446
for it,24957
that the,24469
when it,23685
it says,22874
“ I,22341
with it,22176
of a,22030
it would,21128
from the,20659
Donald Trump,19194
as it,18974
on it,18781
I ’,18168
<S> And,17650
it to,17422
is a,15901
with a,15891
by the,15727
it and,15675
one of,15641
to a,15508
U S,15458
was a,14950
for a,14916
<S> I,14476
<S> It,14454
didn ’,14432
but it,14422
don ’,14300
“ it,14294
going to,14155
” The,13779
has been,13614
it own,13581
” and,13393
about the,13299
’ re,13272
what it,13095
if it,13009
about it,12914
says </S>,11784
” I,11719
out of,11630
New York,11622
would be,11471
because it,11367
and a,11321
to do,11310
<S> Trump,11177
It ’,11162
’ ”,10999
’ m,10955
as the,10934
it will,10884
the first,10844
White House,10777
<S> A,10752
did not,10727
on a,10571
where it,10508
from it,10479
Hillary Clinton,10467
But it,10362
’ d,10263
doesn ’,10249
had been,10070
after it,10028
said that,10000
says it,9903
— and,9853
will be,9824
have been,9818
and that,9793
it did,9693
the United,9664
it ”,9541
s a,9513
I think,9437
United States,9344
is the,9291
<S> ’,9278
which it,9264
it told,9257
to get,9227
<S> When,9220
at a,9166
more than,9112
according to,9107
it in,9101
it added,9020
it also,9004
it could,8986
to make,8961
the same,8941
’ ve,8741
into the,8737
Mr Trump,8642
“ The,8581
to have,8578
the president,8527
” “,8325
<S> As,8315
is not,8273
a “,8150
’ ll,8079
and I,7931
it on,7810
at it,7744
over the,7726
be a,7687
it as,7684
want to,7589
the country,7568
it first,7526
the world,7513
said the,7426
it can,7399
that ’,7384
in an,7361
was the,7349
it campaign,7334
after the,7292
” ’,7273
Trump has,7255
said in,7237
by it,7195
” said,7195
part of,7179
have to,7159
s not,7105
a lot,7096
<S> On,7054
trying to,6997
the most,6986
” the,6964
during the,6850
the U,6798
it “,6746
“ It,6746
Clinton ’,6737
the White,6726
<S> That,6680
I was,6613
said “,6591
“ We,6576
who was,6568
was not,6544
<S> If,6487
have a,6478
had a,6402
wasn ’,6384
in which,6359
the time,6322
” </S>,6262
it family,6215
— it,6204
can ’,6175
I don,6113
” ”,6049
able to,6001
the “,5990
would have,5987
on Twitter,5986
to take,5967
some of,5943
before it,5932
we ’,5901
that Trump,5824
And it,5820
it a,5815
it didn,5801
<S> After,5711
from a,5704
told the,5691
by a,5689
to see,5656
In the,5619
” It,5603
the Republican,5579
” Trump,5545
lot of,5533
all the,5363
who has,5323
think it,5313
kind of,5305
is that,5299
the way,5269
it wife,5269
how it,5258
wanted to,5243
<S> At,5213
<S> This,5178
and then,5149
Trump and,5098
as well,5074
It was,5073
” In,5066
they ’,5066
it father,5043
at least,5032
Trump is,5032
has a,5019
it doesn,5015
<S> They,5013
you ’,4989
the campaign,4983
because of,4944
to go,4922
a new,4907
who is,4888
a few,4887
to say,4880
it wrote,4820
that they,4801
” But,4778
before the,4762
into a,4740
as an,4732
made it,4718
<S> Mr,4700
<S> For,4677
during it,4666
the Trump,4664
up to,4613
<S> So,4578
was in,4547
like it,4523
a statement,4516
” in,4503
wants to,4476
” to,4449
not to,4443
” We,4406
In it,4390
whether it,4386
back to,4368
<S> One,4360
<S> We,4352
of Trump,4346
Obama ’,4337
the election,4315
last year,4315
Trump said,4296
t have,4283
tried to,4283
all of,4274
In a,4270
that “,4257
I have,4254
— a,4252
need to,4247
this week,4244
told it,4242
could be,4237
had to,4234
there ’,4230
was “,4194
a man,4165
against the,4163
be the,4162
that I,4157
it life,4156
it wants,4146
the end,4108
it husband,4102
isn ’,4092
to “,4090
last week,4090
a ”,4088
Trump </S>,4081
in this,4071
t know,4062
s the,4056
the state,4056
should be,4034
and other,4033
who had,4023
that is,4015
it the,4006
people who,4006
President Trump,4006
to help,3988
the past,3985
it it,3983
added </S>,3981
they were,3977
that we,3961
and was,3955
it mother,3954
the US,3942
the last,3938
Barack Obama,3924
” —,3912
President Obama,3905
not be,3904
there is,3894
of this,3872
it does,3862
“ the,3861
the American,3853
would not,3852
that was,3850
an interview,3845
the next,3843
when the,3839
does not,3831
<S> While,3810
it from,3809
though it,3785
the other,3784
like a,3771
the Senate,3763
them </S>,3763
it for,3762
This is,3749
through the,3740
<S> There,3726
not a,3725
That ’,3721
in New,3720
— the,3718
that ”,3714
it made,3703
and said,3684
there was,3664
which is,3646
and in,3630
to keep,3629
way to,3622
that a,3616
such as,3602
I am,3591
of an,3583
make it,3572
” a,3564
while it,3562
so it,3555
it with,3536
against it,3512
won ’,3489
it son,3488
as “,3479
” And,3477
and “,3463
years ago,3462
When it,3455
on Wednesday,3452
saying it,3450
couldn ’,3450
this is,3434
it wanted,3432
<S> —,3421
fact that,3413
“ a,3413
the people,3404
that would,3401
campaign </S>,3390
wouldn ’,3377
they are,3377
well as,3372
end of,3365
but the,3359
is an,3353
s “,3353
the only,3342
s been,3317
of “,3310
<S> You,3307
on Tuesday,3305
around the,3301
is it,3295
it home,3292
a little,3269
this year,3263
can be,3259
the Democratic,3255
I can,3247
the FBI,3247
number of,3243
a good,3241
to work,3239
the media,3239
President Donald,3228
it called,3221
of their,3210
the company,3210
and to,3208
of what,3198
the fact,3189
a very,3184
to win,3183
it took,3182
on Friday,3179
after a,3175
t want,3170
Supreme Court,3165
the case,3162
the best,3160
why it,3158
the right,3158
many of,3152
Washington Post,3147
of them,3143
on Thursday,3131
a woman,3123
over it,3119
time it,3118
It is,3116
the party,3112
and has,3103
We ’,3096
to give,3080
Fox News,3079
up the,3069
into it,3069
away from,3063
“ If,3055
the New,3050
president </S>,3028
it wasn,3025
it might,3023
of people,3018
been a,3004
has said,3002
— but,2998
York Times,2997
on Monday,2990
years </S>,2984
the man,2979
than it,2973
is to,2970
who are,2943
we have,2941
the day,2930
time </S>,2923
the new,2918
since it,2912
” Mr,2911
and we,2900
I would,2898
may have,2896
it went,2895
a former,2895
members of,2894
try to,2874
<S> Now,2868
up in,2868
it should,2860
s going,2854
it at,2854
the former,2847
that there,2841
how to,2838
the House,2838
during a,2831
“ You,2826
may be,2824
it daughter,2818
interview with,2815
year </S>,2799
If it,2797
the government,2792
was it,2791
is in,2791
of that,2788
and is,2783
the city,2780
out to,2780
of our,2776
to use,2770
