it,1403478
the,1002305
</S>,869534
to,620013
a,513303
’,504729
of,492063
and,486872
”,456464
in,397588
that,306835
s,288828
“,219775
was,200992
for,192693
on,189539
is,171134
said,171131
with,157034
as,133642
Trump,133312
I,117773
at,101756
has,99115
—,94960
not,93341
who,91908
from,91423
be,88257
The,86150
by,86117
an,84077
had,80753
have,78189
t,77678
about,72156
but,63589
would,62528
this,57879
are,51710
when,49423
will,48593
or,47890
been,47135
they,46698
one,45650
out,45222
after,42895
more,42893
which,41167
says,40905
what,40804
up,40710
you,40375
people,38677
were,38044
Clinton,37917
also,36757
we,36462
But,36408
In,36078
their,35125
can,35071
all,34995
if,33994
told,33882
like,33128
so,31458
into,30966
just,29681
than,29613
because,29570
Mr,29443
could,29374
time,29173
It,28953
campaign,28797
first,28737
there,28475
over,27076
do,26708
no,26600
them,25194
did,25148
president,25007
other,24938
years,24873
some,24553
before,24300
And,23762
President,23639
how,23558
Obama,23232
me,22580
even,22149
where,22068
made,21830
Donald,21811
two,21777
against,21773
my,21633
last,21400
back,20866
only,20734
get,20320
now,19851
going,19458
most,19336
own,18840
our,18792
way,18756
during,18715
A,18506
think,18471
any,18471
then,18426
New,18159
being,17993
new,17903
very,17867
many,17782
make,17688
Republican,17433
its,17401
while,17300
House,17054
year,16979
say,16863
U,16829
S,16724
know,16630
We,16586
much,15549
man,15484
former,15284
those,15278
down,15248
family,15197
work,15135
country,15046
should,14944
state,14896
through,14598
didn,14476
When,14393
still,14366
don,14359
off,14232
called,14197
asked,14137
political,14129
American,14048
week,13789
never,13749
m,13740
Hillary,13663
day,13632
life,13518
re,13438
police,13091
see,13060
home,13054
take,12992
If,12958
added,12765
election,12690
government,12654
presidential,12640
right,12625
support,12502
saying,12451
since,12285
may,12072
go,12049
want,11975
As,11955
White,11911
world,11885
York,11716
got,11669
public,11610
women,11601
later,11492
around,11441
office,11381
That,11370
whether,11309
United,11272
well,11267
good,11247
This,11237
part,11193
might,11162
party,11124
show,11098
took,11082
Washington,11034
another,10997
media,10885
really,10849
wrote,10848
‘,10789
us,10709
d,10552
including,10456
three,10439
left,10310
doesn,10283
too,10273
such,10212
between,10186
same,10137
these,10067
days,9994
something,9987
came,9969
case,9886
does,9877
put,9865
won,9865
On,9854
found,9837
under,9774
America,9772
both,9746
Twitter,9655
help,9614
States,9519
woman,9518
administration,9414
policy,9373
team,9338
went,9295
come,9270
2016,9257
things,9250
You,9184
next,9175
long,9167
night,9161
according,9140
though,9076
law,9026
They,8981
interview,8964
used,8959
here,8917
Democratic,8900
news,8889
speech,8866
statement,8778
father,8774
ve,8769
Cruz,8744
away,8682
every,8671
Sanders,8590
business,8564
why,8506
job,8491
company,8489
candidate,8464
vote,8455
again,8426
few,8412
There,8406
News,8399
use,8372
CNN,8286
Tuesday,8268
school,8262
lot,8215
wanted,8201
Russia,8112
ll,8109
need,8096
voters,8080
without,8049
little,8035
end,8033
State,7981
After,7868
mother,7840
children,7829
point,7825
your,7815
win,7810
attack,7769
Friday,7758
name,7729
wife,7713
doing,7607
Senate,7593
thought,7576
Republicans,7565
Thursday,7560
best,7552
Wednesday,7546
group,7541
trying,7522
000,7522
months,7520
money,7515
past,7494
security,7394
national,7323
court,7318
At,7305
month,7256
making,7206
death,7202
far,7201
percent,7160
until,7153
For,7151
always,7139
nominee,7134
better,7133
US,7103
fact,7093
wants,7078
decision,7038
working,7022
officials,7016
change,7016
story,7016
federal,6994
great,6981
Monday,6976
One,6953
So,6936
ago,6922
son,6915
black,6823
once,6812
person,6808
call,6804
run,6793
look,6788
big,6785
give,6784
place,6781
among,6765
John,6759
young,6757
million,6745
thing,6734
having,6731
clear,6695
role,6668
believe,6624
early,6589
top,6575
several,6569
What,6563
Russian,6524
done,6524
already,6495
seen,6452
supporters,6418
head,6412
wasn,6406
power,6367
ever,6361
white,6355
set,6352
face,6347
recent,6339
investigation,6339
become,6334
press,6316
video,6263
Democrats,6261
Comey,6261
